Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Marco Polo;Historical drama;historical,drama;2023-04-27;2 seasons, 20 episodes;2;20;48–65 min.;48;65;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Black Summer;Zombie drama;zombie,drama;2023-04-27;1 season, 8 episodes;1;8;21–45 min.;21;45;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Mighty Little Bheem;childrens-animation;childrens-animation;2023-04-27;1 season, 21 episodes;1;21;6–7 min.;6;7;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Day I Met El Chapo;Biography;biography;2023-04-27;1 season, 3 episodes;1;3;48–61 min.;48;61;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Love, Death & Robots;Anthology;anthology;2023-04-27;1 volume, 18 episodes;0;18;6–17 min.;6;17;Renewed;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Crime Diaries: Night Out;Crime anthology series;crime,anthology,series;2023-04-27;8 episodes;0;8;38–48 min.;38;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Jessica Jones;Neo-noir/psychological thriller;neo-noir,psychological,thriller;2023-04-27;3 seasons, 39 episodes;3;39;44–56 min.;44;56;Ended;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
The Epic Tales of Captain Underpants;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Diablero;Horror fantasy thriller;horror,fantasy,thriller;2023-04-27;1 season, 8 episodes;1;8;36–44 min.;36;44;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Bill Nye Saves the World;Science;science;2023-04-27;3 seasons, 25 episodes;3;25;26–41 min.;26;41;Ended;0;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
